Pred,group,累计里程_Pred,数据采集时间,累计里程,安时容量,平均容量,平均容量_pred
126.25080871582031,0.0,311917.40625,2022-01-01 03:06:41,311917.4,127.15807748538012,125.76693492124892,125.67120122909546
125.25462341308594,1.0,311953.40625,,,,,125.67120122909546
125.63958740234375,2.0,312119.8125,2022-01-01 12:48:36,312119.8,126.18385122410548,126.0337220181468,125.68779664881089
125.70863342285156,3.0,312301.59375,2022-01-01 18:12:26,312301.6,123.70604166666666,126.22488484903296,125.73810916476779
127.22928619384766,4.0,312570.3125,,,,,125.73499908447266
125.92335510253906,5.0,312609.59375,2022-01-02 02:46:21,312609.6,124.0841158059468,126.34696206489512,125.73499908447266
125.02316284179688,6.0,312820.8125,2022-01-02 18:26:32,312820.8,122.40216049382715,126.45253620311688,125.70951357754794
125.66203308105469,7.0,313000.59375,2022-01-02 23:44:03,313000.6,127.34558823529412,126.28807458818687,125.67923836086108
127.02073669433594,8.0,313269.1875,2022-01-04 13:32:27,313269.2,125.96128472222222,126.4358795255813,125.72559483846028
125.78225708007812,9.0,313521.8125,2022-01-04 21:38:48,313521.8,128.09579986613116,126.36870516739432,125.78311391977164
125.64854431152344,11.0,313762.8125,2022-01-05 03:55:40,313762.8,126.9654947916667,126.23571227846712,125.77641378130231
121.21430969238281,12.0,313762.8125,,,,,125.77641378130231
128.6817626953125,10.0,313762.8125,,,,,125.77641378130231
125.12066650390625,13.0,313887.40625,,,,,125.77641378130231
126.03530883789062,14.0,314273.6875,,,,,125.734445810318
124.54414367675781,15.0,314273.6875,,,,,125.734445810318
125.95332336425781,16.0,314534.3125,2022-01-08 13:59:11,314534.3,128.4348058902276,126.05152945411122,125.73677875149635
126.59342193603516,17.0,314741.09375,2022-01-09 10:18:39,314741.1,128.13651315789474,125.94768424624358,125.71689820289612
126.04925537109375,18.0,314909.09375,2022-01-09 15:25:22,314909.1,125.8540811965812,126.05442913098534,125.71716480870401
125.36476135253906,19.0,314942.0,2022-01-09 17:34:33,314942.0,128.1826923076923,126.05442913098534,125.71716480870401
125.84619140625,20.0,315227.6875,,,,,125.65677298268965
125.06312561035156,21.0,315227.90625,2022-01-10 09:29:36,315227.9,127.82499999999996,125.88711920643972,125.65677298268965
125.01318359375,22.0,315417.6875,2022-01-10 16:23:07,315417.7,123.98561197916666,126.1219014972666,125.68157688263923
126.79179382324219,23.0,315637.8125,2022-01-11 09:46:38,315637.8,128.6529535864979,125.95578258758152,125.6508557719569
126.95121765136719,24.0,315910.59375,2022-01-11 18:48:19,315910.6,127.21486928104576,125.89568395738829,125.6214599609375
125.99546813964844,25.0,315925.1875,2022-01-11 22:34:50,315925.2,124.4477513227513,125.89568395738829,125.6214599609375
126.46354675292969,26.0,316092.3125,2022-01-12 08:12:26,316092.3,123.84184027777778,125.81580920475456,125.61662483215332
124.91507720947266,27.0,316234.5,,,,,125.61662483215332
125.930419921875,28.0,316393.3125,2022-01-12 17:28:04,316393.3,125.17318594104307,125.73850508337776,125.70702283135776
125.55744934082031,29.0,316518.6875,2022-01-12 21:16:11,316518.7,125.49153645833331,125.69660481138764,125.72358605169481
124.86572265625,30.0,316667.09375,,,,,125.72358605169481
125.40908813476562,31.0,316667.09375,2022-01-13 08:44:34,316667.1,127.15643274853804,125.69660481138764,125.72358605169481
125.84330749511719,32.0,316863.5,2022-01-13 16:05:02,316863.5,123.992037037037,125.79300000717892,125.60097961425781
125.98005676269531,33.0,317053.1875,2022-01-14 01:53:55,317053.2,123.89925665101724,125.687327771857,125.67145080566407
124.7601318359375,34.0,317053.1875,,,,,125.67145080566407
125.95247650146484,35.0,317480.3125,2022-01-14 20:36:27,317480.3,123.74491213151924,125.63836156271653,125.69143168131511
125.32801818847656,36.0,317658.09375,2022-01-15 19:20:50,317658.1,122.7128144654088,125.5932429556035,125.66005492210388
125.79208374023438,37.0,317866.59375,2022-01-16 01:18:51,317866.6,127.56737089201876,125.56504766770423,125.6840330554593
124.70967864990234,38.0,318005.0,2022-01-16 08:44:43,318005.0,123.69097222222226,125.62822509524575,125.70639470418294
125.76309204101562,39.0,318171.6875,2022-01-16 13:54:04,318171.7,124.4501633986928,125.45378843326732,125.66864776611328
125.96783447265625,40.0,318332.5,2022-01-16 19:09:45,318332.5,126.08463541666669,125.58913389613537,125.72157238375756
125.62753295898438,41.0,318532.3125,2022-01-17 01:46:46,318532.3,126.25868055555554,125.55337766369634,125.65855763753255
126.43695068359375,42.0,318738.09375,2022-01-17 16:03:07,318738.1,125.1875,125.68410360365144,125.66605535046807
126.60018920898438,43.0,318971.40625,2022-01-18 00:09:58,318971.4,127.66792929292932,125.57574759458112,125.64088781948747
125.32731628417969,44.0,319004.59375,2022-01-18 02:49:29,319004.6,122.76157407407406,125.57574759458112,125.6416384379069
121.17767333984375,45.0,319221.0,2022-01-18 14:11:14,319221.0,128.2028799019608,125.51068350685466,125.68210714834707
128.0674591064453,46.0,319489.59375,,,,,125.71340996878487
126.166259765625,47.0,319740.90625,2022-01-19 20:13:40,319740.9,129.00190058479532,125.70557730814213,125.73454454210069
126.50007629394531,48.0,319741.0,2022-01-20 07:51:42,319741.0,127.38949275362316,125.70557730814213,125.73454454210069
125.9405288696289,49.0,319928.5,2022-01-20 13:52:03,319928.5,124.5577380952381,125.8145680742722,125.76702644085061
125.12284851074219,50.0,320120.90625,2022-01-20 20:30:44,320120.9,124.46527777777776,125.8924174510358,125.78187866210938
125.2559585571289,51.0,320120.90625,,,,,125.78187866210938
125.99258422851562,52.0,320313.5,2022-01-21 01:43:35,320313.5,127.09192251461988,126.02490090877023,125.76249054939517
125.65938568115234,53.0,320519.09375,2022-01-21 14:52:40,320519.1,124.29203703703703,125.9862872599597,125.79706548055013
127.30931091308594,54.0,320763.0,2022-01-22 10:44:12,320763.0,128.97277046783628,126.13951174694375,125.79091059366861
125.33467102050781,55.0,320910.8125,2022-01-22 14:35:52,320910.8,125.17958089668616,126.14200612559274,125.77554092407226
125.9375,56.0,321191.90625,2022-01-22 22:55:54,321191.9,127.10998877665544,126.16524649487712,125.78458675261467
125.2005615234375,57.0,321313.09375,2022-01-23 03:30:56,321313.1,122.4642857142857,126.20242055343016,125.75131324029738
125.66340637207031,58.0,321502.09375,,,,,125.71816622826361
126.19642639160156,59.0,321733.1875,,,,,125.87608286539714
126.2054672241211,60.0,321925.5,2022-01-24 11:34:43,321925.5,126.66827380952384,126.18598319912095,125.86541305049774
125.597412109375,61.0,322099.3125,,,,,125.8275131717805
126.39103698730469,62.0,322275.59375,2022-01-24 22:23:45,322275.6,128.2525077160494,126.1385571490182,125.82553634643554
126.02002716064453,63.0,322275.6875,2022-01-25 06:39:37,322275.7,125.77442528735632,126.1385571490182,125.82553634643554
126.00157165527344,64.0,322438.3125,2022-01-25 10:26:07,322438.3,124.87207264957264,126.3495906513346,125.82405293782553
126.16349792480469,65.0,322605.0,2022-01-25 15:02:58,322605.0,126.63364197530863,126.2138445602138,125.82282495498657
125.54032897949219,66.0,322773.8125,,,,,125.8793443249118
124.96853637695312,67.0,322795.1875,,,,,125.8793443249118
125.77651977539062,68.0,322967.5,2022-01-27 11:49:43,322967.5,124.3453282828283,126.2955350330555,125.8205399946733
125.57844543457031,69.0,323171.1875,2022-01-27 17:52:44,323171.2,127.9743265993266,126.3790141162229,125.85779664010713
125.50674438476562,70.0,323353.40625,,,,,125.87298067878274
125.31974792480469,71.0,323464.1875,2022-01-28 01:59:44,323464.2,128.40672514619882,126.25063241853314,125.8865230015346
126.3637466430664,72.0,323627.6875,2022-01-28 10:48:05,323627.7,124.52849002849004,126.1613536495696,125.87615076700847
125.40547180175781,73.0,323811.1875,2022-01-28 15:37:26,323811.2,126.04250334672024,126.08113218069516,125.86267810397678
125.5726318359375,74.0,323970.6875,2022-01-28 20:39:17,323970.7,127.06352459016392,126.23183411679554,125.88159572056361
125.52432250976562,75.0,324131.5,2022-01-29 01:49:44,324131.5,124.81091269841266,126.15514408545704,125.87445983886718
125.54531860351562,76.0,324270.1875,2022-01-29 12:18:32,324270.2,126.37988683127573,126.03369890695656,125.84264482770648
126.89256286621094,77.0,324479.5,,,,,125.84425898960659
126.7795181274414,78.0,324627.90625,2022-01-29 21:55:14,324627.9,129.16203703703704,126.00831591085388,125.8822974068778
125.89602661132812,79.0,324777.5,2022-01-30 02:07:14,324777.5,129.20047514619887,125.9209115116496,125.86270742705373
126.10098266601562,80.0,324960.59375,,,,,125.86526271275112
125.50782775878906,81.0,325049.3125,2022-02-08 09:41:36,325049.3,123.2274305555556,126.13841446449663,125.86526271275112
126.3080825805664,82.0,325198.90625,2022-02-08 13:31:26,325198.9,127.48603128991058,126.04837379637756,125.8429456438337
126.2935791015625,83.0,325410.40625,2022-02-08 20:27:28,325410.4,130.48796296296297,125.93881916035772,125.85916072300502
124.570556640625,84.0,325410.40625,2022-02-08 21:04:38,325410.4,124.12369791666666,125.93881916035772,125.85916072300502
124.94659423828125,85.0,325437.40625,2022-02-10 09:51:10,325437.4,123.9294590643275,125.93881916035772,125.85916072300502
126.88885498046875,86.0,325663.09375,,,,,125.86238924662273
126.70571899414062,87.0,325782.59375,,,,,125.87050192696708
126.97764587402344,88.0,325819.0,2022-02-10 21:42:22,325819.0,129.4107638888889,125.93393768563156,125.87050192696708
126.1251449584961,89.0,325926.09375,2022-02-11 01:51:14,325926.1,121.66042673107891,125.976544637898,125.90309426443918
125.55648803710938,90.0,325926.09375,,,,,125.90309426443918
125.51312255859375,91.0,326054.90625,2022-02-11 14:22:23,326054.9,124.01866319444444,125.8689947955867,125.92026999337332
125.45248413085938,92.0,326215.1875,2022-02-11 18:21:04,326215.2,125.10445205479448,126.03878859843202,125.90943167550223
125.41365051269531,93.0,326556.1875,2022-02-12 04:08:22,326556.2,124.31458333333336,125.8366869488999,126.01266797383626
125.08290100097656,94.0,326676.40625,2022-02-12 14:21:50,326676.4,122.99756944444444,125.8777179189194,126.02662070138113
126.261962890625,95.0,326887.6875,,,,,126.03437064034598
126.92875671386719,96.0,327078.0,,,,,126.0252219063895
126.12997436523438,97.0,327323.6875,2022-02-13 21:31:13,327323.7,128.34474206349208,125.64024741922718,126.10314138312089
125.78907775878906,98.0,327417.40625,2022-02-14 02:03:14,327417.4,126.263671875,125.64024741922718,126.10314138312089
125.89736938476562,99.0,327417.5,2022-02-14 10:04:05,327417.5,127.54305555555554,125.64024741922718,126.10314138312089
