Pred,group,累计里程_Pred,数据采集时间,累计里程,安时容量,平均容量,平均容量_pred,decline,decline_avg
126.25080871582033,0.0,311917.40625,2022-01-01 03:06:41,311917.4,127.15807748538012,125.76693492124892,125.67120122909546,,
125.25462341308594,1.0,311953.40625,,,,,125.67120122909546,-0.9961853027343892,0.0
125.63958740234376,2.0,312119.8125,2022-01-01 12:48:36,312119.8,126.18385122410548,126.0337220181468,125.68779664881087,0.3849639892578267,0.016595419715415005
125.70863342285156,3.0,312301.59375,2022-01-01 18:12:26,312301.6,123.70604166666666,126.22488484903296,125.7381091647678,0.06904602050779829,0.0503125159569322
127.22928619384766,4.0,312570.3125,,,,,125.73499908447266,1.5206527709960938,-0.0031100802951442574
125.92335510253906,5.0,312609.59375,2022-01-02 02:46:21,312609.6,124.0841158059468,126.34696206489512,125.73499908447266,-1.3059310913085938,0.0
125.02316284179688,6.0,312820.8125,2022-01-02 18:26:32,312820.8,122.40216049382715,126.45253620311688,125.70951357754794,-0.9001922607421875,-0.025485506924724177
125.66203308105467,7.0,313000.59375,2022-01-02 23:44:03,313000.6,127.34558823529412,126.28807458818687,125.67923836086108,0.6388702392577983,-0.030275216686860063
127.02073669433594,8.0,313269.1875,2022-01-04 13:32:27,313269.2,125.96128472222222,126.4358795255813,125.72559483846028,1.3587036132812642,0.04635647759920403
125.78225708007812,9.0,313521.8125,2022-01-04 21:38:48,313521.8,128.09579986613116,126.36870516739432,125.78311391977164,-1.2384796142578125,0.05751908131135508
125.64854431152344,11.0,313762.8125,2022-01-05 03:55:40,313762.8,126.9654947916667,126.23571227846712,125.77641378130232,-0.1337127685546875,-0.006700138469312833
121.2143096923828,12.0,313762.8125,,,,,125.77641378130232,-4.434234619140639,0.0
128.6817626953125,10.0,313762.8125,,,,,125.77641378130232,7.467453002929702,0.0
125.12066650390624,13.0,313887.40625,,,,,125.77641378130232,-3.561096191406264,0.0
126.03530883789062,14.0,314273.6875,,,,,125.734445810318,0.9146423339843892,-0.041967970984330805
124.5441436767578,15.0,314273.6875,,,,,125.734445810318,-1.4911651611328267,0.0
125.9533233642578,16.0,314534.3125,2022-01-08 13:59:11,314534.3,128.4348058902276,126.05152945411122,125.73677875149636,1.4091796875,0.0023329411783663545
126.59342193603516,17.0,314741.09375,2022-01-09 10:18:39,314741.1,128.13651315789474,125.94768424624358,125.71689820289612,0.640098571777358,-0.019880548600241355
126.04925537109376,18.0,314909.09375,2022-01-09 15:25:22,314909.1,125.8540811965812,126.05442913098534,125.717164808704,-0.544166564941392,0.0002666058078801825
125.36476135253906,19.0,314942.0,2022-01-09 17:34:33,314942.0,128.1826923076923,126.05442913098534,125.717164808704,-0.6844940185547017,0.0
125.84619140625,20.0,315227.6875,,,,,125.65677298268965,0.4814300537109375,-0.060391826014353
125.06312561035156,21.0,315227.90625,2022-01-10 09:29:36,315227.9,127.82499999999996,125.88711920643972,125.65677298268965,-0.7830657958984375,0.0
125.01318359375,22.0,315417.6875,2022-01-10 16:23:07,315417.7,123.98561197916666,126.1219014972666,125.68157688263923,-0.0499420166015625,0.02480389994958898
126.7917938232422,23.0,315637.8125,2022-01-11 09:46:38,315637.8,128.6529535864979,125.95578258758152,125.6508557719569,1.7786102294922017,-0.03072111068233596
