group,数据采集时间,累计里程,安时容量,平均容量
0,2022-01-01 08:20:34,35175.4,142.46965020576135,138.22371927241917
3,2022-01-02 02:43:43,35502.2,136.60895931142412,137.7716884038714
4,2022-01-02 17:37:13,35650.6,136.22093023255815,138.05444616635748
5,2022-01-03 17:49:10,35804.1,140.5998498498499,138.11457148460565
6,2022-01-04 04:41:37,36066.5,143.17083333333335,138.11457148460565
7,2022-01-04 12:26:58,36265.5,135.11843093093094,137.9449339666932
8,2022-01-05 02:06:25,36472.6,137.05470085470088,137.77169985516412
10,2022-01-05 15:10:26,36704.7,133.23245614035088,137.92927858466123
11,2022-01-05 22:59:57,36892.7,141.68214285714285,137.80577143136395
13,2022-01-06 03:56:59,36991.5,132.2412037037037,137.80577143136395
14,2022-01-06 16:20:29,37159.6,139.02777777777774,138.04000828018502
15,2022-01-07 00:50:26,37344.0,137.26736111111111,138.16673833440768
16,2022-01-07 16:16:37,37607.7,142.21405423280422,138.1825060304686
17,2022-01-07 21:35:38,37720.0,138.24454365079367,138.00387502316474
18,2022-01-08 02:30:20,37811.8,131.4224318658281,137.93684412036225
19,2022-01-08 15:12:57,38039.3,142.29581260364844,138.09352207269163
20,2022-01-08 23:22:29,38221.1,139.07657657657657,138.0043389514396
23,2022-01-09 16:31:00,38623.8,136.95454545454547,137.20778636911365
24,2022-01-09 18:00:20,38668.7,136.05148467432952,137.20778636911365
25,2022-01-10 02:23:22,38864.7,134.48025173611111,137.03082917406437
26,2022-01-10 12:18:49,39123.4,141.0808531746032,136.99290264546477
27,2022-01-11 00:45:48,39342.4,135.2121212121212,136.88014634274086
28,2022-01-11 16:02:56,39502.2,143.19321895424835,136.8738750398422
29,2022-01-12 00:23:37,39673.3,141.08152958152957,136.836905543821
32,2022-01-12 23:56:26,40021.6,138.56093073593075,137.15525248505193
33,2022-01-13 14:27:25,40255.4,136.32810245310245,136.60892752707443
34,2022-01-14 00:29:27,40481.0,140.52590811965814,137.05014539061585
35,2022-01-14 12:00:13,40591.5,133.99135220125788,136.8817447972565
36,2022-01-15 02:00:19,40781.1,132.49590163934425,136.8953320914472
37,2022-01-15 10:19:09,40908.1,130.93117283950616,136.8953320914472
38,2022-01-15 23:01:38,41119.9,137.63758051529788,136.8476098022939
39,2022-01-16 03:55:53,41202.7,130.5175438596491,136.87137495662887
41,2022-01-17 14:53:21,41428.9,136.0686111111111,136.90596563282276
42,2022-01-18 01:32:46,41665.2,143.3641713747646,136.7786342836164
43,2022-01-18 04:34:01,41712.3,130.7574074074074,136.90846980200087
44,2022-01-18 11:00:04,41802.0,129.93950617283951,136.90846980200087
46,2022-01-19 02:18:51,42053.2,138.06657088122606,136.73792387066334
47,2022-01-19 18:16:43,42209.4,137.05166666666668,136.58081843464
48,2022-01-20 08:34:24,42241.4,142.13580246913585,136.58081843464
49,2022-01-20 15:16:15,42350.5,140.66741741741745,136.63405913653023
50,2022-01-20 23:35:16,42546.2,133.66923611111113,136.6733901849426
51,2022-01-21 01:44:37,42579.9,136.37500000000003,136.50356337577776
52,2022-01-21 09:51:09,42686.5,131.72619047619048,136.50356337577776
53,2022-01-21 14:13:30,42820.5,142.65678418803418,136.3650790784393
54,2022-01-21 20:46:58,42927.5,138.6111111111111,136.28517664003542
55,2022-01-22 00:37:28,43043.4,137.2437948028674,136.20308800375375
56,2022-01-22 14:14:45,43206.5,139.48419540229887,136.06532962961563
58,2022-01-22 23:57:57,43438.2,135.41594112769485,136.12315126048446
60,2022-01-23 16:58:27,43713.0,137.10453216374273,136.41907103520055
61,2022-01-24 00:06:28,43892.6,135.2848148148148,136.4542188028739
62,2022-01-24 09:33:35,44018.0,137.2609126984127,136.56802489865763
63,2022-01-24 15:16:26,44176.1,140.80353535353535,136.2411160221853
64,2022-01-24 23:34:40,44348.5,136.38049242424242,136.6356500885321
65,2022-01-25 14:19:27,44581.8,136.3683665008292,136.76087284588223
66,2022-01-25 22:18:56,44763.8,138.2312801932367,136.47813742286905
67,2022-01-26 01:01:46,44861.2,139.78019323671498,136.3472224230394
69,2022-01-26 08:48:21,45064.6,131.23893229166669,136.52622758937005
70,2022-01-26 15:15:56,45192.9,131.8966049382716,136.72033031675963
71,2022-01-26 23:32:57,45407.2,133.7282986111111,136.81283192972722
72,2022-01-27 02:18:48,45497.4,137.81698312236287,136.7548229238761
73,2022-01-27 09:55:52,45629.7,129.44532585470083,136.90972305683945
74,2022-01-27 18:44:31,45785.6,129.21203703703705,136.7647643725871
76,2022-01-28 01:45:52,45990.0,134.76529790660226,136.7521729697224
77,2022-01-28 10:37:57,46154.1,142.85925925925923,136.51527990760854
78,2022-01-28 15:02:22,46241.6,137.57894736842104,136.42093495959034
79,2022-01-28 23:40:22,46404.5,139.8242122719735,136.6523212542902
80,2022-01-29 13:16:48,46593.4,132.57617845117846,136.61629726909433
81,2022-01-29 23:01:45,46773.7,137.08088768115942,136.51760782279726
82,2022-01-30 02:48:25,46880.5,137.8846450617284,136.36465122923238
83,2022-01-30 08:31:36,47038.2,140.9499269005848,136.3640118365313
84,2022-01-30 10:39:16,47094.7,129.22652116402116,136.24524361337689
85,2022-01-30 15:40:17,47246.1,140.6306790123457,136.0824304708727
86,2022-01-31 10:41:37,47405.5,139.39740143369175,135.71092741525567
87,2022-02-01 14:21:48,47581.2,137.59214743589743,135.69934245294152
88,2022-02-01 22:14:11,47766.5,141.4819651741294,135.81457692308302
89,2022-02-02 12:00:14,47898.1,140.8552009456265,135.81457692308302
90,2022-02-02 20:51:56,48095.2,142.0456989247312,135.81728247510537
91,2022-02-02 23:15:37,48141.1,134.9904761904762,136.02968102911882
93,2022-02-04 14:36:30,48400.2,135.02560763888889,136.26477220125958
94,2022-02-04 23:56:00,48575.8,129.17159498207883,136.3183248546402
95,2022-02-05 06:09:23,48671.0,134.0854938271605,136.07606802483951
96,2022-02-05 15:23:16,48826.4,142.68917624521077,136.0182649731633
97,2022-02-05 20:43:20,48989.2,139.85096153846155,135.8660270812109
98,2022-02-05 23:21:50,49038.8,132.87348090277774,135.8660270812109
99,2022-02-06 08:05:57,49198.3,137.54678362573102,136.00310410746224
100,2022-02-06 15:18:30,49353.3,131.33292483660134,136.08035075642374
101,2022-02-06 23:08:11,49517.9,136.34291187739464,136.15180458872828
102,2022-02-07 09:49:47,49558.8,132.33024691358025,136.10584018891703
103,2022-02-07 15:19:35,49668.1,130.546783625731,136.1602587674915
104,2022-02-08 07:00:39,49798.1,129.29793906810036,136.05723793415817
105,2022-02-08 13:02:01,49939.2,130.84504357298474,136.02525708738395
106,2022-02-12 12:00:40,51783.0,138.93480725623584,135.66484741066063
107,2022-02-12 17:02:46,51882.2,139.59953703703704,135.83196662066348
108,2022-02-12 21:21:47,52038.3,139.84678130511463,135.91741972744342
109,2022-02-13 14:36:12,52076.6,130.53256704980845,136.08047303716447
111,2022-02-14 11:28:01,52239.5,138.15817901234567,136.48281397752785
112,2022-02-14 19:26:18,52424.7,138.62986111111113,136.9804406787836
113,2022-02-14 23:52:09,52526.6,139.50345486111104,137.4600351838836
114,2022-02-15 09:53:21,52682.3,141.50678294573646,137.4600351838836
115,2022-02-15 23:07:58,52839.2,136.00102880658434,137.20213840601255
116,2022-02-16 12:08:28,52997.3,137.40785353535352,137.199403746965
118,2022-02-16 18:51:05,53150.9,137.1362433862434,137.26092527653384
119,2022-02-17 02:13:26,53344.1,142.45671834625324,137.2525249389443
120,2022-02-17 10:00:48,53445.9,131.21031746031744,137.3896987198605
121,2022-02-17 15:50:08,53534.8,129.92487373737373,137.3896987198605
122,2022-02-18 01:26:01,53773.1,138.3409645909646,137.09856848281598
123,2022-02-18 12:46:55,53929.3,132.37823183760685,137.09856848281598
124,2022-02-18 23:48:38,54199.9,138.02743827160492,137.16951155363682
125,2022-02-19 13:30:47,54359.9,135.17666666666668,137.1125665309723
126,2022-02-19 18:20:17,54491.6,138.30833333333334,137.00730403659688
127,2022-02-20 00:55:34,54626.7,139.39828431372547,137.02854453462803
