group,数据采集时间,累计里程,安时容量,平均容量
0,2022-07-19 23:38:12,59278.8,131.85122549019607,134.62480684575965
1,2022-07-20 02:41:43,59278.8,126.85160818713447,134.62480684575965
3,2022-07-20 06:19:04,59278.8,137.51388888888889,134.62480684575965
4,2022-07-20 08:01:24,59278.8,147.43055555555554,134.62480684575965
6,2022-07-20 09:07:34,59278.8,151.40277777777777,134.62480684575965
8,2022-08-10 23:00:39,59545.1,148.66777777777776,134.33206887509448
9,2022-08-11 00:08:40,59545.1,136.7113888888889,134.33206887509448
10,2022-08-11 13:17:46,59562.0,134.44166666666666,134.33206887509448
11,2022-08-11 13:49:26,59562.0,124.73958333333334,134.33206887509448
12,2022-08-11 14:18:16,59562.0,139.4027777777778,134.33206887509448
13,2022-08-16 21:17:31,59820.3,133.22666666666666,134.20225408956492
14,2022-08-17 01:23:21,59820.3,138.06586257309937,134.20225408956492
16,2022-08-20 19:59:49,60070.6,133.47456831831832,133.99443937776581
17,2022-08-25 07:49:26,60316.4,130.36537037037036,133.90284403836537
18,2022-08-25 12:35:37,60316.4,127.53661616161618,133.90284403836537
19,2022-08-27 07:06:36,60388.2,126.62722222222224,133.90284403836537
20,2022-08-28 10:44:20,60414.7,140.60790598290592,133.90284403836537
22,2022-09-01 14:11:17,60491.0,131.59375,133.90284403836537
23,2022-09-03 20:58:33,60698.9,128.72916666666666,133.89655880222503
24,2022-09-03 21:53:43,60698.9,137.34490740740742,133.89655880222503
26,2022-09-04 01:05:25,60698.9,130.37297297297297,133.89655880222503
27,2022-09-12 13:37:16,60902.2,135.05509259259262,133.93046150184276
28,2022-09-12 18:24:16,60902.2,141.2628841607564,133.93046150184276
29,2022-09-19 07:59:35,61097.7,127.37083333333337,133.93046150184276
30,2022-09-19 09:56:06,61097.7,131.8731172839506,133.93046150184276
32,2022-09-26 08:05:26,61357.0,136.43115942028987,133.93046150184276
33,2022-09-26 11:50:36,61357.0,130.65582151300225,133.93046150184276
34,2022-10-04 10:17:54,61583.5,134.1448412698413,133.93046150184276
36,2022-10-04 17:55:39,61668.9,129.070987654321,133.93046150184276
38,2022-10-04 20:10:19,61668.9,131.99678362573098,133.93046150184276
39,2022-10-04 23:12:00,61668.9,138.54923167848693,133.93046150184276
40,2022-10-15 01:57:45,61786.7,131.24145299145297,133.35323994751687
42,2022-10-19 23:00:17,62029.3,133.13580246913585,133.35323994751687
43,2022-10-20 00:42:38,62029.3,129.5440740740741,133.35323994751687
44,2022-10-27 20:59:10,62269.3,130.34523809523807,132.9122913652897
46,2022-10-28 00:39:52,62269.3,133.6455673758865,132.9122913652897
48,2022-11-07 19:41:39,62475.2,126.7199074074074,132.76450902720356
49,2022-11-07 20:35:39,62475.2,133.78764172335596,132.76450902720356
50,2022-11-19 10:26:27,62701.6,131.7419590643275,132.74478515800593
51,2022-11-19 11:53:47,62701.6,136.03125,132.74478515800593
52,2022-11-19 21:45:13,62721.4,131.23611111111114,132.74478515800593
53,2022-11-19 22:04:33,62721.4,133.121433080808,132.74478515800593
55,2022-12-05 14:27:23,63002.7,127.77100694444444,132.97036777261607
58,2022-12-07 12:33:28,63079.6,138.16319444444446,132.97036777261607
59,2022-12-07 13:12:18,63079.6,134.9345238095238,132.97036777261607
60,2022-12-07 15:37:38,63079.6,134.4535300925926,132.97036777261607
62,2022-12-30 16:20:38,63324.9,132.07118055555557,133.05836978228757
63,2022-12-30 22:14:48,63328.6,138.15972222222226,133.05836978228757
64,2022-12-30 23:06:08,63328.6,133.12000591016547,133.05836978228757
