group,数据采集时间,累计里程,安时容量,平均容量
0,2022-01-01 05:43:41,130015.5,124.06970284237728,122.58333476505868
1,2022-01-02 00:43:29,130254.0,122.29547491039428,122.81805123719617
2,2022-01-02 19:47:41,130422.8,120.16870915032678,122.81805123719617
3,2022-01-03 01:06:52,130559.8,123.63416666666666,122.76538062920673
4,2022-01-04 01:27:03,130880.5,121.29340277777776,122.59879744248296
9,2022-01-06 02:53:07,131573.0,125.56597222222224,122.44942578448517
10,2022-01-07 00:26:44,131820.4,121.18903399668324,122.29689985045215
11,2022-01-08 00:58:30,132065.4,120.59604851330204,122.29689985045215
12,2022-01-09 01:42:24,132375.3,124.99840067340064,122.27753801558622
13,2022-01-09 19:07:53,132487.1,122.0224358974359,122.27753801558622
14,2022-01-10 01:08:24,132641.4,124.00873015873016,122.22209184848887
15,2022-01-10 01:39:05,132641.4,123.974537037037,122.22209184848887
16,2022-01-11 02:55:39,132959.7,122.13333333333335,122.36205668232171
17,2022-01-12 00:28:59,133183.7,119.23399758454109,122.27695263235384
18,2022-01-12 01:05:59,133183.7,123.79801587301584,122.27695263235384
19,2022-01-13 00:29:45,133414.6,120.97898284313725,122.4177910763173
20,2022-01-14 00:23:14,133734.2,119.81372549019608,122.27513564488012
22,2022-01-15 01:27:01,133963.6,123.83958333333332,122.32734208807592
23,2022-01-15 15:56:30,134042.5,122.92483660130716,122.37578264519516
24,2022-01-16 02:15:45,134285.1,119.39890710382517,122.2101643684879
27,2022-01-17 00:54:07,134640.9,121.89030131826742,122.31513177102836
30,2022-01-18 17:40:00,135066.1,122.90533333333332,122.25521362838568
31,2022-01-19 00:23:52,135206.5,123.04138888888887,122.1238917302151
33,2022-01-20 00:40:51,135484.2,120.51575126262628,122.11905539287878
34,2022-01-20 01:22:32,135484.2,123.69328703703702,122.11905539287878
36,2022-01-21 01:26:59,135798.8,124.25101010101008,122.13537443961832
37,2022-01-22 00:14:35,136036.7,119.27937158469943,122.18261923021322
39,2022-01-22 23:48:09,136290.3,123.47588383838384,122.23565179917297
40,2022-01-23 23:17:37,136519.6,123.4899154589372,122.400768181544
41,2022-01-24 19:53:05,136613.7,120.99739583333331,122.37798259807597
42,2022-01-25 01:11:06,136738.2,122.80390211640211,122.37798259807597
44,2022-01-26 13:09:41,137024.7,122.09413580246913,122.63415462111504
45,2022-01-27 00:31:52,137287.7,123.3275875190259,122.568835642799
47,2022-01-28 01:59:58,137625.5,122.83897180762852,122.45768846186766
48,2022-01-28 20:04:55,137817.9,120.70179738562092,122.44766788573598
49,2022-01-29 01:47:49,137959.6,123.44419191919192,122.44766788573598
51,2022-01-30 00:03:54,138252.6,122.6719348659004,122.7103682056937
52,2022-01-30 00:32:24,138252.6,120.73541666666664,122.7103682056937
53,2022-01-30 20:27:31,138485.6,122.0656130268199,122.62879007874517
54,2022-01-31 00:00:43,138575.1,121.0334745762712,122.7576138669777
55,2022-01-31 20:28:13,138795.0,125.24873737373736,122.84422410897898
56,2022-02-01 00:18:24,138908.9,124.7892909356725,122.84422410897898
58,2022-02-02 00:43:30,139259.5,123.7886546184739,122.82166551539707
59,2022-02-02 15:43:59,139378.0,124.13636363636364,122.80157098696989
60,2022-02-03 00:11:21,139552.4,123.33703703703704,122.82878003252759
61,2022-02-03 16:18:12,139694.9,119.55444444444446,122.82878003252759
62,2022-02-04 00:17:44,139892.2,123.48454616588418,122.93008499212249
63,2022-02-04 15:50:58,140053.0,121.94328703703704,122.9517949196525
64,2022-02-04 17:37:59,140089.8,119.6141975308642,122.9517949196525
65,2022-02-05 01:09:30,140272.4,122.77083333333331,122.9730698830191
66,2022-02-05 17:18:41,140466.3,125.98421717171718,123.09413897369251
67,2022-02-06 02:51:05,140715.1,125.31772976680382,123.12343865015099
68,2022-02-06 15:57:58,140832.1,122.04840067340068,123.17332387500554
69,2022-02-07 03:20:10,141120.8,125.9308192686357,123.32937723869343
70,2022-02-07 18:45:06,141286.9,122.64115497076024,123.32937723869343
71,2022-02-08 04:21:28,141541.3,122.70701058201058,123.13170169394905
72,2022-02-08 21:07:55,141734.2,121.15345528455283,123.24344539830408
73,2022-02-09 02:39:46,141871.1,122.27911324786326,123.22247581291293
76,2022-02-10 02:53:49,142279.0,125.84252738654148,123.38030965182675
77,2022-02-10 16:14:11,142368.3,123.04907407407408,123.28585177144515
78,2022-02-10 20:16:12,142477.3,123.53796296296296,123.27790399566759
79,2022-02-11 01:30:43,142633.7,123.43467078189305,123.58552826896255
81,2022-02-12 00:46:13,142935.6,124.44178486997636,123.56977595414774
82,2022-02-12 14:39:39,143000.2,123.91452991452992,123.46480024903603
83,2022-02-13 01:29:51,143246.8,121.63081395348836,123.33764784502971
85,2022-02-14 00:14:31,143473.7,123.98315118397086,123.44797324686552
88,2022-02-15 16:33:38,143879.3,121.7667624521073,123.29139670520176
89,2022-02-16 00:53:53,144123.5,124.29040404040404,123.27949125436402
91,2022-02-16 16:18:37,144214.7,124.99007936507935,123.1563082371861
92,2022-02-17 00:06:53,144402.7,122.3289930555556,123.149716373033
94,2022-02-17 23:32:57,144623.4,125.42222222222222,123.2028745435085
95,2022-02-19 00:06:39,144836.1,120.92440476190478,123.03935637487612
97,2022-02-20 00:59:29,145123.7,125.66256313131312,123.07138554390917
100,2022-02-21 01:06:23,145384.3,122.3927777777778,123.03885118440722
101,2022-02-21 23:38:59,145630.3,124.3623538011696,122.93527789278488
102,2022-02-22 15:43:31,145731.6,121.36851851851851,122.9940500294915
103,2022-02-23 00:08:42,145927.3,124.69621031746031,123.0198293323449
104,2022-02-23 17:25:11,146062.7,120.56949786324785,122.97794577357855
105,2022-02-24 00:30:53,146211.8,124.24463937621834,123.0488581707146
107,2022-02-24 23:30:42,146429.0,122.42127976190476,123.10460146282796
109,2022-02-25 23:44:28,146637.5,120.19991582491582,123.0507013456654
110,2022-02-26 18:35:23,146796.9,120.11805555555556,122.95835001140759
111,2022-02-27 00:48:44,146958.5,124.47867063492062,122.86259423224406
112,2022-02-28 00:50:45,147270.4,121.7545731707317,122.76019438341567
113,2022-03-01 00:42:18,147586.3,124.31638071895424,123.03768906421088
114,2022-03-02 00:20:47,147878.8,122.65384615384616,122.91269506101554
115,2022-03-03 00:45:31,148209.1,124.28703703703704,122.9454574943782
116,2022-03-03 15:08:32,148293.4,121.78801169590643,123.02845428258134
117,2022-03-03 17:29:15,148333.7,123.45555555555556,123.17265747032818
118,2022-03-05 00:01:08,148589.5,124.6798433048433,123.23263562365862
122,2022-03-07 17:21:07,149382.5,120.3181216931217,123.7037585815882
123,2022-03-08 00:07:28,149520.3,123.27182539682542,123.80335164651372
125,2022-03-09 00:22:11,149798.2,124.35207231040565,123.93299756540519
126,2022-03-10 00:18:00,150076.7,125.43740981240984,124.03892790009066
128,2022-03-11 17:00:43,150613.7,124.49768518518518,123.93962838295081
129,2022-03-12 01:42:58,150827.9,125.91251803751804,124.03986216255959
130,2022-03-13 01:15:49,151167.3,124.56781045751634,123.87246435875323
132,2022-03-14 00:34:38,151585.3,124.74392361111111,123.82083300224299
133,2022-03-14 14:33:04,151696.0,122.44861111111112,123.82083300224299
134,2022-03-15 00:34:59,151926.2,126.17175273865416,124.00518622903886
135,2022-03-16 00:01:05,152150.5,123.95855379188713,124.0100473335694
136,2022-03-17 00:44:38,152451.8,125.8397435897436,124.10634118032624
138,2022-03-17 15:43:32,152582.9,121.17708333333331,123.92335055983563
139,2022-03-18 00:15:34,152804.4,125.37161680911682,123.92335055983563
140,2022-03-18 14:58:39,152891.9,124.1971153846154,123.98124121092935
141,2022-03-19 01:10:34,153094.2,122.31627680311892,123.98124121092935
143,2022-03-20 01:07:33,153423.1,123.83469498910677,123.92602049469671
144,2022-03-21 00:31:59,153644.2,121.28754340277776,123.85853462755708
145,2022-03-21 17:20:00,153771.9,123.09895833333336,123.81206928479118
146,2022-03-22 00:50:21,153909.3,123.61334325396828,123.8219361459828
149,2022-03-24 00:18:29,154448.0,125.05555555555556,123.61853585219187
150,2022-03-24 16:14:49,154585.7,122.31867816091956,123.61853585219187
151,2022-03-25 01:01:41,154794.7,126.27794924554183,123.58611226570468
152,2022-03-26 00:27:36,155027.7,121.7775974025974,123.48367447824839
153,2022-03-27 00:01:01,155308.2,125.13905423280424,123.48915535049063
154,2022-03-27 23:52:53,155601.3,126.30208333333331,123.58079422484346
156,2022-03-29 00:20:58,155851.2,122.94848484848482,123.69144399477045
157,2022-03-30 00:27:07,156056.0,122.44133141762454,123.71377197545765
158,2022-03-30 16:09:29,156160.7,123.54557291666669,123.82405509239764
159,2022-03-31 00:13:21,156340.5,124.03900709219856,123.85858350949593
160,2022-03-31 18:28:29,156492.0,122.66815476190474,123.89546941498809
161,2022-04-01 01:24:10,156670.1,123.45095486111109,123.77813455812965
162,2022-04-02 00:14:19,156933.6,122.5669710806697,123.78301035028825
165,2022-04-03 01:16:44,157233.1,123.21281130268198,123.70763297829211
