group,数据采集时间,累计里程,安时容量,平均容量
0,2022-01-01 08:20:34,35175.4,142.46965020576135,136.51651361728412
1,2022-01-01 12:45:15,35274.1,130.30654761904762,136.61251528581244
2,2022-01-01 14:12:15,35274.1,131.1003086419753,136.61251528581244
3,2022-01-02 02:43:43,35502.2,136.60895931142412,136.3393530005501
4,2022-01-02 17:37:13,35650.6,136.22093023255815,136.637175980705
5,2022-01-03 17:49:10,35804.1,140.5998498498499,136.4073425499988
6,2022-01-04 04:41:37,36066.5,143.17083333333335,137.066926690337
7,2022-01-04 12:26:58,36265.5,135.11843093093094,137.02181376026508
8,2022-01-05 02:06:25,36472.6,137.05470085470088,136.92406137472068
9,2022-01-05 14:51:36,36704.7,147.58950617283952,137.0780166265682
10,2022-01-05 15:10:26,36704.7,133.23245614035088,137.0780166265682
11,2022-01-05 22:59:57,36892.7,141.68214285714285,137.01137750462365
12,2022-01-05 23:54:27,36892.7,114.87601851851852,137.01137750462365
13,2022-01-06 03:56:59,36991.5,132.2412037037037,137.01137750462365
14,2022-01-06 16:20:29,37159.6,139.02777777777774,137.22454445116244
15,2022-01-07 00:50:26,37344.0,137.26736111111111,137.35311062217468
16,2022-01-07 16:16:37,37607.7,142.21405423280422,138.0322621666386
17,2022-01-07 21:35:38,37720.0,138.24454365079367,137.893593790416
18,2022-01-08 02:30:20,37811.8,131.4224318658281,138.3069757253352
19,2022-01-08 15:12:57,38039.3,142.29581260364844,138.4333289126976
20,2022-01-08 23:22:29,38221.1,139.07657657657657,138.36140704072014
21,2022-01-09 01:54:50,38282.0,129.14143990929708,138.17810999692716
22,2022-01-09 11:29:09,38478.7,151.57777777777775,137.87596384035393
23,2022-01-09 16:31:00,38623.8,136.95454545454547,137.7030496897903
24,2022-01-09 18:00:20,38668.7,136.05148467432952,137.7030496897903
25,2022-01-10 02:23:22,38864.7,134.48025173611111,137.23216921073904
26,2022-01-10 12:18:49,39123.4,141.0808531746032,137.20228770335754
27,2022-01-11 00:45:48,39342.4,135.2121212121212,136.79160637801826
28,2022-01-11 16:02:56,39502.2,143.19321895424835,137.4875887668792
29,2022-01-12 00:23:37,39673.3,141.08152958152957,137.70556043017476
30,2022-01-12 15:19:26,39855.5,149.02403846153848,137.9166311531677
31,2022-01-12 18:46:06,39913.4,146.88636363636363,137.9166311531677
32,2022-01-12 23:56:26,40021.6,138.56093073593075,137.9166311531677
33,2022-01-13 14:27:25,40255.4,136.32810245310245,137.44220822604015
34,2022-01-14 00:29:27,40481.0,140.52590811965814,137.78674309290898
35,2022-01-14 12:00:13,40591.5,133.99135220125788,137.6464092651095
36,2022-01-15 02:00:19,40781.1,132.49590163934425,137.65773201026843
37,2022-01-15 10:19:09,40908.1,130.93117283950616,138.13474783672783
38,2022-01-15 23:01:38,41119.9,137.63758051529788,137.4101404481954
39,2022-01-16 03:55:53,41202.7,130.5175438596491,137.46197618441013
40,2022-01-16 09:15:36,41272.9,126.76488095238092,137.45204718383604
41,2022-01-17 14:53:21,41428.9,136.0686111111111,137.47439615824453
42,2022-01-18 01:32:46,41665.2,143.3641713747646,137.36828670057258
43,2022-01-18 04:34:01,41712.3,130.7574074074074,137.46113125876076
44,2022-01-18 11:00:04,41802.0,129.93950617283951,137.46113125876076
45,2022-01-19 01:50:41,42053.2,145.4238888888889,137.33436135644496
46,2022-01-19 02:18:51,42053.2,138.06657088122606,137.33436135644496
47,2022-01-19 18:16:43,42209.4,137.05166666666668,137.20344015975886
48,2022-01-20 08:34:24,42241.4,142.13580246913585,137.20344015975886
49,2022-01-20 15:16:15,42350.5,140.66741741741745,137.2312196201231
50,2022-01-20 23:35:16,42546.2,133.66923611111113,136.85004756793413
51,2022-01-21 01:44:37,42579.9,136.37500000000003,136.6983958037107
52,2022-01-21 09:51:09,42686.5,131.72619047619048,136.6983958037107
53,2022-01-21 14:13:30,42820.5,142.65678418803418,136.57862560060715
54,2022-01-21 20:46:58,42927.5,138.6111111111111,136.5036169956204
55,2022-01-22 00:37:28,43043.4,137.2437948028674,136.43232949569162
56,2022-01-22 14:14:45,43206.5,139.48419540229887,136.3126972234138
57,2022-01-22 17:53:26,43287.4,146.3140096618358,136.22627973387938
58,2022-01-22 23:57:57,43438.2,135.41594112769485,136.63253959649887
59,2022-01-23 10:01:28,43532.5,127.48611111111111,136.58466160445025
60,2022-01-23 16:58:27,43713.0,137.10453216374273,136.88173519625983
61,2022-01-24 00:06:28,43892.6,135.2848148148148,137.16631589141878
62,2022-01-24 09:33:35,44018.0,137.2609126984127,137.26514750091513
63,2022-01-24 15:16:26,44176.1,140.80353535353535,136.98125295029448
64,2022-01-24 23:34:40,44348.5,136.38049242424242,137.3424753030298
65,2022-01-25 14:19:27,44581.8,136.3683665008292,137.21664049741355
66,2022-01-25 22:18:56,44763.8,138.2312801932367,136.96447106607744
67,2022-01-26 01:01:46,44861.2,139.78019323671498,136.86161144520688
68,2022-01-26 04:07:07,44956.3,143.7377260981912,136.93014630976052
69,2022-01-26 08:48:21,45064.6,131.23893229166669,137.02072714861185
70,2022-01-26 15:15:56,45192.9,131.8966049382716,137.20677526599243
71,2022-01-26 23:32:57,45407.2,133.7282986111111,137.27548656226267
72,2022-01-27 02:18:48,45497.4,137.81698312236287,137.23732586086697
73,2022-01-27 09:55:52,45629.7,129.44532585470083,137.3745231214917
74,2022-01-27 18:44:31,45785.6,129.21203703703705,136.94272948716585
75,2022-01-27 22:19:21,45883.4,146.36904761904762,136.67497862503245
76,2022-01-28 01:45:52,45990.0,134.76529790660226,136.66382623963798
77,2022-01-28 10:37:57,46154.1,142.85925925925923,136.71198292166562
78,2022-01-28 15:02:22,46241.6,137.57894736842104,136.62572468347759
79,2022-01-28 23:40:22,46404.5,139.8242122719735,136.83727786720317
80,2022-01-29 13:16:48,46593.4,132.57617845117846,136.79911819708158
81,2022-01-29 23:01:45,46773.7,137.08088768115942,136.70865287130923
