pred,target
105.607765,123.61298
117.852936,121.52976
119.86337,125.020065
120.17097,125.75543
120.22148,-1.0
120.23117,124.34524
120.23352,123.700874
120.23427,-1.0
120.23456,130.4191
120.2347,122.673904
120.23477,126.004326
120.23482,128.13843
120.23485,125.72866
120.23486,124.992096
120.23488,129.29398
120.23488,130.62378
120.23488,122.04208
120.23489,123.5199
120.23489,-1.0
120.23489,127.45944
120.23489,123.815895
120.23489,124.05503
120.23489,125.5793
120.2349,127.97708
120.2349,125.6797
120.23491,130.71626
120.23491,124.46747
120.23491,127.78654
120.23491,125.41924
120.23491,126.16803
120.23491,-1.0
120.23491,-1.0
120.23491,124.690216
120.23491,129.02792
120.23491,127.43689
120.23491,-1.0
120.23491,126.08557
120.23491,128.95392
120.23491,127.32327
120.23491,125.799385
120.23491,-1.0
120.23491,128.5213
120.23491,129.24173
120.23491,122.14445
120.23491,125.10708
120.23491,127.29525
120.23491,127.745544
120.23491,-1.0
120.23491,128.53186
120.23491,124.64622
120.23491,128.01392
120.23491,125.02415
120.23491,127.52337
120.23491,-1.0
120.23491,127.562935
120.23491,-1.0
120.23491,129.52519
120.23491,131.1261
120.23491,124.909164
120.23491,123.57815
120.23491,-1.0
120.23491,122.92402
120.23491,129.61212
120.23491,127.21104
120.23491,130.15166
120.23491,129.1505
120.23491,130.25879
120.23491,-1.0
120.23491,125.03205
120.23491,126.74523
120.23491,120.94038
120.23491,126.00139
120.23491,121.1762
120.23491,126.21036
120.23491,126.98117
120.23491,125.828316
120.23491,128.9897
120.23491,127.69264
120.23491,127.72613
120.23491,125.86915
120.23491,124.19861
120.23491,126.06611
120.23491,129.47144
120.23491,125.01032
120.23491,130.60158
120.23491,132.41469
120.23491,120.83854
120.23491,128.69057
120.23491,-1.0
120.23491,124.761284
120.23491,126.94886
120.23491,124.23997
120.23491,121.177086
120.23491,126.74153
120.23491,130.36809
120.23491,124.32769
120.23491,130.47455
120.23491,125.062805
120.23491,124.50319
120.23491,124.635414
120.23491,129.86067
120.23491,129.12572
120.23491,125.92419
120.23491,125.13095
120.23491,125.418365
120.23491,127.69227
120.23491,122.285286
120.23491,130.39655
120.23491,-1.0
120.23491,126.07186
120.23491,123.11472
120.23491,127.02146
120.23491,125.816536
120.23491,124.9881
120.23491,130.83807
120.23491,123.26131
120.23491,125.313194
120.23491,127.19495
120.23491,122.98987
120.23491,124.75231
120.23491,122.757225
120.23491,123.879166
120.23491,121.95704
120.23491,126.06727
120.23491,122.703705
120.23491,124.47266
120.23491,124.20546
120.23491,126.4499
120.23491,125.249054
120.23491,128.99258
120.23491,126.332565
120.23491,129.22691
120.23491,126.83189
120.23491,126.24084
120.23491,126.710526
120.23491,130.52074
120.23491,122.85202
120.23491,126.14809
120.23491,124.96164
120.23491,120.15469
120.23491,130.83348
120.23491,123.629196
120.23491,128.9857
120.23491,123.568085
120.23491,129.60751
120.23491,128.7113
120.23491,130.36234
120.23491,-1.0
120.23491,125.671455
120.23491,122.30453
120.23491,131.60706
120.23491,130.08408
120.23491,124.66944
120.23491,125.22349
120.23491,-1.0
120.23491,125.19327
120.23491,130.95692
120.23491,125.55596
120.23491,127.44753
120.23491,124.09722
120.23491,-1.0
120.23491,127.68759
120.23491,122.92491
120.23491,130.3632
120.23491,123.76945
120.23491,125.46145
120.23491,122.15018
120.23491,-1.0
120.23491,126.54872
120.23491,124.01157
120.23491,125.17803
120.23491,127.48387
120.23491,127.767075
120.23489,125.81207
120.23489,121.24935
120.2348,-1.0
120.23416,123.35463
120.22957,-1.0
120.19624,128.73866
119.95381,126.34291
118.21045,124.51485
106.92081,126.4144
