Pred,group,累计里程_Pred,数据采集时间,累计里程,安时容量,平均容量,平均容量_pred,decline,decline_avg,,,,2��,,,6��,,
134.5475006,0,35175.39844,2022/1/1 8:20,35175.4,142.4696502,138.2237193,133.6226982,,,,,,,,,,,
131.9249115,1,35274.10156,,,,,133.7666384,-2.622589111,0.143940271,,,,,,,,,
123.9816132,2,35274.10156,,,,,133.7666384,-7.94329834,0,,,,0.15460894,,,,,
131.4568939,3,35502.19922,2022/1/2 2:43,35502.2,136.6089593,137.7716884,133.3869516,7.475280762,-0.379686791,,,,-0.005154498,,,,,
135.9151306,4,35650.60156,2022/1/2 17:37,35650.6,136.2209302,138.0544462,133.5275314,4.458236694,0.140579786,,,,-0.34213963,,,,,
136.4232635,5,35804.10156,2022/1/3 17:49,35804.1,140.5998498,138.1145715,133.4060551,0.508132935,-0.121476329,0.1407608,,,0.14073655,,,,,
133.8152618,6,36066.5,2022/1/4 4:41,36066.5,143.1708333,138.1145715,133.558956,-2.608001709,0.152900877,-0.10967292,,,-0.15896451,,,-0.012496768,,
130.730896,7,36265.5,2022/1/4 12:26,36265.5,135.1184309,137.944934,133.5436951,-3.084365845,-0.015260912,0.17390773,,,0.17576043,,,-0.017474158,,
134.4309692,8,36472.60156,2022/1/5 2:06,36472.6,137.0547009,137.7716999,133.548226,3.700073242,0.004530921,0.10687438,,,-0.08536749,,,-0.018460622,,
137.0852966,9,36704.69922,,,,,133.5281666,2.654327393,-0.020059395,-0.005399174,,,0.062384136,,,-0.01724187,,
133.8728333,10,36704.69922,2022/1/5 15:10,36704.7,133.2324561,137.9292786,133.5281666,-3.212463379,0,-0.04098879,,,-0.04806299,,,-0.012892677,,
127.5980911,12,36892.69922,,,,,133.5034114,-6.274742126,-0.024755165,0.030058235,,,-0.03861193,,,-0.012214361,,
135.7177429,11,36892.69922,2022/1/5 22:59,36892.7,141.6821429,137.8057714,133.5034114,8.119651794,0,0.018004417,,,0.07128078,,,-0.00977189,,
135.3215027,13,36991.5,2022/1/6 3:56,36991.5,132.2412037,137.8057714,133.5034114,-0.396240234,0,-0.047083512,,,-0.05276949,,,-0.0073377,,
136.9345245,14,37159.60156,2022/1/6 16:20,37159.6,139.0277778,138.0400083,133.6221771,1.613021851,0.118765695,-0.020729486,,,0.053491294,,,-0.00259378,,
133.6898041,15,37344,2022/1/7 0:50,37344,137.2673611,138.1667383,133.6424444,-3.244720459,0.020267232,0.16393816,,,0.09385155,,,0.003931046,,
138.1396332,16,37607.69922,2022/1/7 16:16,37607.7,142.2140542,138.182506,133.7453285,4.449829102,0.102884142,-0.011151101,,,0.1117154,,,0.009960741,,
136.213623,17,37720,2022/1/7 21:35,37720,138.2445437,138.003875,133.7202606,-1.926010132,-0.025067878,-0.029218614,,,0.07517881,,,0.025123343,,
126.5525894,18,37811.80078,2022/1/8 2:30,37811.8,131.4224319,137.9368441,134.0694408,-9.66103363,0.34918016,0.06438775,,,-0.03360927,,,0.026793882,,
136.1985474,19,38039.30078,2022/1/8 15:12,38039.3,142.2958126,138.0935221,134.2203103,9.645957947,0.150869554,0.27075332,,,0.1443814,,,0.021942765,,
136.9380188,20,38221.10156,2022/1/8 23:22,38221.1,139.0765766,138.004339,134.1469284,0.739471436,-0.073381978,0.009726524,,,0.21587634,,,0.011378363,,
127.4445648,21,38282,,,,,134.1427717,-9.493453979,-0.004156636,-0.014361224,,,-0.059188437,,,-0.000534537,,
136.9227753,22,38478.69922,,,,,134.0826597,9.478210449,-0.060112,-0.18074283,,,0.03673687,,,-0.002425418,,
133.6757813,23,38623.80078,2022/1/9 16:31,38623.8,136.9545455,137.2077864,134.086935,-3.246994019,0.004275322,-0.040385358,,,-0.10925758,,,-0.002622338,,
133.0606079,24,38668.69922,2022/1/9 18:00,38668.7,136.0514847,137.2077864,134.086935,-0.61517334,0,-0.049401335,,,0.008605689,,,-0.002670551,,
133.661499,25,38864.69922,2022/1/10 2:23,38864.7,134.4802517,137.0308292,134.2200405,0.600891113,0.13310548,-0.04695588,,,-0.1114773,,,-0.00183342,,
133.0066223,26,39123.39844,2022/1/10 12:18,39123.4,141.0808532,136.9929026,134.3152887,-0.654876709,0.095248136,0.019072562,,,-0.015018199,,,0.00645639,,
132.835022,27,39342.39844,2022/1/11 0:45,39342.4,135.2121212,136.8801463,134.2247328,-0.171600342,-0.090555868,-0.07285787,,,0.23956254,,,0.024741188,,
136.9476166,28,39502.19922,2022/1/11 16:02,39502.2,143.193219,136.873875,134.3549541,4.112594604,0.130221343,-0.001751627,,,-0.050499145,,,0.048602432,,
134.2301941,29,39673.30078,2022/1/12 0:23,39673.3,141.0815296,136.8369055,134.4434664,-2.717422485,0.08851229,0.13400283,,,0.14493631,,,0.07109283,,
138.1758118,30,39855.5,,,,,134.7609013,3.945617676,0.317434858,0.12945786,,,0.11685844,,,0.09958862,,
131.8267212,31,39913.39844,,,,,134.7609013,-6.349090576,0,0.27539474,,,0.119451374,,,0.09189083,,
134.3199768,32,40021.60156,2022/1/12 23:56,40021.6,138.5609307,137.1552525,134.7609013,2.493255615,0,-0.031879924,,,-0.026825467,,,0.084986165,,
